voom (cor)	0.5	0.002	0.013
voom (cor)	0.5	0.05	0.0887
MAST	0.5	0.01	0.4252
MAST	0.5	0.002	0.3455
MAST	0.5	0.05	0.5358
edgeR (QL)	0.5	0.01	0.5324
edgeR (QL)	0.5	0.002	0.455
edgeR (QL)	0.5	0.05	0.634
edgeR (LRT)	0.5	0.01	0.5653
edgeR (LRT)	0.5	0.002	0.4923
edgeR (LRT)	0.5	0.05	0.6633
DESeq2	0.5	0.01	0.5657
DESeq2	0.5	0.002	0.494
DESeq2	0.5	0.05	0.6606
voom	0.5	0.01	0.4504
voom	0.5	0.002	0.371
voom	0.5	0.05	0.5629
voom (cor)	0.5	0.01	0.0395
voom (cor)	0.5	0.002	0.0171
voom (cor)	0.5	0.05	0.0943
MAST	0.5	0.01	0.4222
MAST	0.5	0.002	0.3427
MAST	0.5	0.05	0.533
edgeR (QL)	0.5	0.01	0.5326
edgeR (QL)	0.5	0.002	0.4593
edgeR (QL)	0.5	0.05	0.6455
edgeR (LRT)	0.5	0.01	0.5696
edgeR (LRT)	0.5	0.002	0.4944
edgeR (LRT)	0.5	0.05	0.6731
DESeq2	0.5	0.01	0.5683
DESeq2	0.5	0.002	0.4947
DESeq2	0.5	0.05	0.6701
voom	0.5	0.01	0.4659
voom	0.5	0.002	0.3828
voom	0.5	0.05	0.5765
voom (cor)	0.5	0.01	0.0342
voom (cor)	0.5	0.002	0.013
voom (cor)	0.5	0.05	0.0915
MAST	0.5	0.01	0.4321
MAST	0.5	0.002	0.3495
MAST	0.5	0.05	0.5471
edgeR (QL)	0.5	0.01	0.5356
edgeR (QL)	0.5	0.002	0.4612
edgeR (QL)	0.5	0.05	0.6332
edgeR (LRT)	0.5	0.01	0.5661
edgeR (LRT)	0.5	0.002	0.4973
edgeR (LRT)	0.5	0.05	0.6607
DESeq2	0.5	0.01	0.5666
DESeq2	0.5	0.002	0.4994
DESeq2	0.5	0.05	0.6595
voom	0.5	0.01	0.4593
voom	0.5	0.002	0.3848
voom	0.5	0.05	0.5719
voom (cor)	0.5	0.01	0.0341
voom (cor)	0.5	0.002	0.0142
voom (cor)	0.5	0.05	0.0907
MAST	0.5	0.01	0.4318
MAST	0.5	0.002	0.3509
MAST	0.5	0.05	0.5432
